image_id,label,score
10015-simplified,superhero; cg artwork; fiction; animated cartoon; supernatural creature,0.953624; 0.84464186; 0.8383317; 0.74481845; 0.65604043
10016-simplified,personal computer; display device; software engineering,0.86766744; 0.817954; 0.7801774
10024-simplified,cloud; sunrise; terrain; sunset; sunlight; castle,0.9296566; 0.9139185; 0.8806728; 0.8669624; 0.86519885; 0.8197862
1012-simplified,lighting; lantern; column; still life photography; evening; night; light fixture; shadow,0.92508006; 0.8139723; 0.77806914; 0.7091444; 0.6148883; 0.5955278; 0.55097556; 0.51908374
10141-simplified,reptile; snout; tooth; liquid,0.9634191; 0.92924255; 0.9259692; 0.9211627
10156-simplified,tree house; jungle; animation,0.89011157; 0.6639453; 0.5678597
10196-simplified,unidentified flying object; child,0.7574801; 0.58672386
10208-simplified,orange; heat; fire; flame; gothic architecture; dawn,0.9085725; 0.62213707; 0.60466474; 0.5550742; 0.5391533; 0.5298271
10215-simplified,fictional character; technology; mecha; action figure; armour; animation; fiction,0.9031087; 0.87993723; 0.7818836; 0.7668937; 0.7479172; 0.6819738; 0.6123871
10229-simplified,cg artwork; fictional character; cloak; fiction,0.8420598; 0.81878185; 0.7277045; 0.5634582
1028-simplified,still life photography,0.5598538
10314-simplified,science,0.507576
10339-simplified,ocean; watercraft; aircraft; naval architecture,0.80472577; 0.7713768; 0.7080189; 0.6183721
1040-simplified,dog; snout; working animal; fur,0.9955314; 0.9048764; 0.82803404; 0.60650826
10402-simplified,orange; mushroom; evening,0.91744953; 0.87155855; 0.67015344
10409-simplified,reptile; terrestrial animal,0.9367995; 0.84695244
10435-simplified,photograph; standing; darkness; midnight; lens flare; backlighting; shadow,0.98799163; 0.9440835; 0.91908646; 0.7889383; 0.7599413; 0.68202883; 0.51426464
10464-simplified,arch; composite material; symmetry; daylighting; shadow; arcade,0.89831305; 0.87720066; 0.74020344; 0.71056294; 0.6498382; 0.6066379
1055-simplified,interior design; furniture; flooring; floor; ceiling; lighting; architecture; room,0.9801519; 0.97426724; 0.9721561; 0.96657455; 0.95608443; 0.9484837; 0.93655425; 0.8896012
10554-simplified,black hair; cg artwork; eyelash; fictional character; costume; digital compositing; film; earring,0.9119393; 0.8919073; 0.8762253; 0.65720296; 0.6536145; 0.6163701; 0.598645; 0.52971536
10624-simplified,night; darkness; graphics; graphic design; lens flare,0.8500732; 0.83455455; 0.7145071; 0.6011399; 0.5115696
10643-simplified,red; cg artwork; costume; cosplay; fiction; demon; goth subculture,0.9733319; 0.8047207; 0.76319396; 0.761635; 0.60273683; 0.5578187; 0.5564082
10688-simplified,dog; cg artwork; armour; cloak; animated cartoon; hero; fiction,0.8145932; 0.8011402; 0.73698586; 0.6697001; 0.62459445; 0.61130226; 0.5854627
10697-simplified,fictional character; animated cartoon; pc game; graphics,0.8130628; 0.70239973; 0.7017781; 0.58897805
10716-simplified,mountainous landforms; rock; sunrise; orange; sunset; reflection; sun,0.9715891; 0.96414745; 0.945696; 0.93879277; 0.9369464; 0.90957534; 0.9050898
1076-simplified,lips; facial expression; eyelash; masque; portrait photography; eye shadow,0.9847882; 0.9446822; 0.9020024; 0.68013984; 0.61676496; 0.52265936
10766-simplified,ingredient; recipe; fast food; finger food; cooking; culinary arts; condiment; comfort food,0.9519876; 0.8560066; 0.8368808; 0.7968456; 0.7478419; 0.73128855; 0.6998827; 0.695572
10785-simplified,book; still life photography,0.7867044; 0.6295401
1080-simplified,science,0.5485557
1081-simplified,string instrument; folk instrument,0.97653127; 0.89433277
10834-simplified,electricity; metropolis; neon sign; midnight,0.86472726; 0.81328636; 0.7754047; 0.74139637
10881-simplified,dinosaur; statue; extinction; monument; animation; fictional character; cryptid,0.96878594; 0.81669736; 0.8034915; 0.7113904; 0.6365078; 0.58035004; 0.507584
10926-simplified,umbrella; costume; photo shoot; model; portrait photography; red hair,0.8684943; 0.69867104; 0.69310766; 0.66220057; 0.5717136; 0.5651682
10982-simplified,goggles; beard; sunglasses; hero; animation,0.84919304; 0.7094009; 0.69573146; 0.56778836; 0.5176854
10984-simplified,cat; whiskers; snout; fur; paw,0.995749; 0.9568785; 0.91430825; 0.89626384; 0.82291967
11024-simplified,branch; petal; pink; blossom; spring; spire,0.96795255; 0.9560328; 0.9435323; 0.89454573; 0.847534; 0.6375938
11037-simplified,nature; hill; mountain range; cloud,0.9771277; 0.9516708; 0.9320886; 0.92792386
11303-simplified,photograph; dress; happiness; event,0.9881029; 0.97791535; 0.9405698; 0.9261854
11305-simplified,pumpkin; still life photography; lantern,0.6853843; 0.5906622; 0.5813394
11344-simplified,facial expression; eyelash; fictional character; animated cartoon; cg artwork; portrait; fiction; film,0.9448967; 0.8770741; 0.8153486; 0.7938989; 0.76867175; 0.5760802; 0.5689603; 0.5581449
11432-simplified,pollinator; butterfly; wing,0.97832245; 0.97338057; 0.9457783
1155-simplified,personal protective equipment; helmet; fictional character; fiction; cg artwork; suit actor,0.9382637; 0.9304064; 0.7956429; 0.62254727; 0.60407394; 0.5540087
11553-simplified,primate; toy,0.97326505; 0.5066775
1160-simplified,green; grassland; dress; field; people in nature,0.98183733; 0.94863415; 0.9289493; 0.921024; 0.8719159
11614-simplified,arch; palace; column; mansion; floral design,0.89780414; 0.8419558; 0.7274383; 0.7173854; 0.5926962
11752-simplified,animation; cityscape,0.7193238; 0.5247009
11817-simplified,walking; reflection,0.66594553; 0.6268095
11906-simplified,natural material; still life photography; erosion,0.70959514; 0.6258488; 0.53829724
11947-simplified,map; orange; display device; electronics; multimedia; screenshot; software; gadget,0.9698631; 0.9142279; 0.82276326; 0.71093434; 0.6866236; 0.68036187; 0.5960509; 0.57995075
1195-simplified,dog; animation; tail,0.8795915; 0.7521178; 0.6176212
11996-simplified,lips; skin; red; hairstyle; eyelash; beauty; red hair; facial expression; portrait photography,0.98479617; 0.9803001; 0.9728488; 0.9701359; 0.96995395; 0.9613072; 0.9526916; 0.94463456; 0.89898235
12009-simplified,mansion; night; symmetry; dusk; château,0.87820363; 0.6935497; 0.6818331; 0.63279134; 0.57434547
12035-simplified,astronaut; astronomical object; astronomy; universe; graphics; animation; night; sphere,0.979497; 0.91064596; 0.7992201; 0.7241669; 0.69046897; 0.68045634; 0.6704908; 0.62765133
12180-simplified,orange; arch; sunset; sunrise; red sky at morning,0.9543278; 0.9527506; 0.8883276; 0.8740027; 0.7767966
1219-simplified,eyebrow; skin; beauty; eyelash; black hair; fashion; eye shadow; black; long hair,0.9855448; 0.98051125; 0.9733398; 0.9720462; 0.9541156; 0.94993764; 0.92670995; 0.9097329; 0.83190924
12220-simplified,chin; cheek; eyebrow; skin; beard; nose; moustache,0.98860985; 0.98697215; 0.9860224; 0.98038936; 0.9797304; 0.9745318; 0.95843035
12244-simplified,blue; beak; wing; feather; tail; passerine; still life photography,0.9888033; 0.9686739; 0.92395526; 0.8817081; 0.6815893; 0.61218154; 0.5737406
12445-simplified,fictional character; knight; action; cg artwork; action figure; breastplate; action-adventure game; sword,0.932049; 0.92317307; 0.88167894; 0.8361335; 0.8039894; 0.7970637; 0.7774553; 0.71316844
12471-simplified,underwater,0.78775626
12483-simplified,hardwood; wood stain; fur; vegetable,0.77392924; 0.65135497; 0.6143576; 0.50552255
12494-simplified,beak; fictional character; animated cartoon; chicken; phasianidae; fiction,0.92715204; 0.830472; 0.6977499; 0.637169; 0.6359795; 0.60630053
12498-simplified,ceiling; symmetry; graphics; science; lens flare,0.8316601; 0.689085; 0.57305264; 0.5372811; 0.5009503
12533-simplified,flame; beard; fire; moustache; heat; candle,0.93655217; 0.9195642; 0.85867184; 0.8005377; 0.7365412; 0.5233297
12657-simplified,dog; pet supply; snout; collar; working animal,0.99547976; 0.90103644; 0.8846553; 0.8737853; 0.80561775
12675-simplified,arch; erosion,0.9195821; 0.738598
12705-simplified,technology; animation; fictional character; graphics; action figure; mecha; shadow,0.8716538; 0.7093108; 0.6817397; 0.58816606; 0.5834406; 0.56269515; 0.527082
12755-simplified,orange; darkness; electricity; night; sunrise; heat; sunset; lens flare,0.9498967; 0.82650536; 0.8093222; 0.7965154; 0.7653507; 0.7558341; 0.73946655; 0.704792
12812-simplified,field; prairie; steppe; robot; plantation,0.92092717; 0.8001835; 0.770413; 0.6713891; 0.56670576
12815-simplified,game; astronomical object; winter; science; digital compositing; animation; universe; spacecraft,0.78790647; 0.6968521; 0.6354234; 0.5839778; 0.57308453; 0.57278293; 0.56970316; 0.54220545
1285-simplified,fictional character; animated cartoon; toy; film; fiction; digital compositing,0.8751288; 0.8483386; 0.72236055; 0.7101638; 0.61102927; 0.53488755
12871-simplified,glasses; facial expression; moustache; beard; portrait photography; wrinkle,0.983218; 0.944941; 0.7825143; 0.6797201; 0.6367088; 0.50395346
129-simplified,head; nose; eye; people in nature; long hair; cloak; mythology; cg artwork; portrait,0.9862465; 0.9745435; 0.9579534; 0.8377446; 0.8140075; 0.7972415; 0.6816645; 0.6651192; 0.5864219
12984-simplified,snout; costume; fiction; cryptid; animated cartoon; mask,0.74836487; 0.6913092; 0.5850993; 0.5783314; 0.5776665; 0.51423013
12996-simplified,armour; science; fictional character; animation; digital compositing,0.5705006; 0.56016374; 0.54537344; 0.5450408; 0.5258068
13115-simplified,horse; horse tack; armour; cg artwork; fictional character; working animal; mythology; horse supplies,0.9612526; 0.87235737; 0.84655505; 0.8142734; 0.8081884; 0.79358906; 0.7932702; 0.77004975
13118-simplified,technology; display device; graphic design; gadget; multimedia; graphics,0.859917; 0.7563578; 0.6837673; 0.59466386; 0.5933364; 0.58491206
13167-simplified,beard; moustache; wrinkle; temple; facial expression; portrait photography; flesh,0.9904204; 0.98124385; 0.96087235; 0.9580573; 0.94466305; 0.86592525; 0.6926657
13184-simplified,red; orange; dragon; mythology; graphics; graphic design,0.97722703; 0.89059067; 0.8417212; 0.7506611; 0.57358396; 0.5095445
1324-simplified,fictional character; animated cartoon; happiness,0.7999833; 0.74922115; 0.5493962
13263-simplified,green; petal; aquatic plant; lotus; reflection; pond,0.97388726; 0.9701251; 0.9529486; 0.8375441; 0.7527909; 0.72669566
13267-simplified,cat; whiskers; snout; toy; animated cartoon,0.96359247; 0.9139317; 0.87843794; 0.8237555; 0.8173943
13280-simplified,blue; eyebrow; lips; eyelash; beauty; hairstyle; fashion; neck; eye shadow,0.9894413; 0.9858071; 0.9847942; 0.97967935; 0.9724692; 0.9703606; 0.9610993; 0.95628285; 0.9422872
13283-simplified,beard; sun hat; moustache; fedora; film; costume hat; fictional character,0.88017064; 0.8526981; 0.8149433; 0.7705778; 0.5918444; 0.5812773; 0.5525204
13328-simplified,history; battle; conquistador; middle ages; art paint,0.88968885; 0.772413; 0.6250371; 0.53606755; 0.52837247
1334-simplified,fictional character; animated cartoon; cg artwork; anime; fiction,0.913089; 0.7968532; 0.7822591; 0.73334; 0.5774041
13374-simplified,barechestedness; muscle; cg artwork; fictional character; thorax; flesh; animated cartoon; mythology; film,0.8670166; 0.8389844; 0.8003916; 0.755622; 0.7334399; 0.6428641; 0.6233377; 0.62266344; 0.5934904
13502-simplified,beauty; long hair; headpiece; cg artwork; film; costume; tradition; model,0.95291; 0.8322036; 0.7487206; 0.73182863; 0.7195104; 0.7189668; 0.65315944; 0.5558833
13570-simplified,lens flare; graphics; graphic design,0.6879151; 0.625151; 0.5409664
13648-simplified,dog; snout; fur; working animal; whiskers; pet supply; tongue,0.99548984; 0.91765815; 0.8438097; 0.7826049; 0.70382035; 0.6732971; 0.65506655
13651-simplified,tourist attraction; dome; cityscape; night; dusk,0.81898254; 0.71626675; 0.64230865; 0.5600244; 0.55775595
13699-simplified,orange; plastic; figurine,0.9199783; 0.7434562; 0.50287855
13812-simplified,moonlight; moon; mist; darkness; evening; midnight,0.9012753; 0.90126634; 0.83447117; 0.8336195; 0.77768904; 0.769575
13814-simplified,fictional character; toy; fur; costume design; mask; suit actor; cosplay; animation,0.7921564; 0.75521326; 0.7034033; 0.66311496; 0.64206666; 0.61415356; 0.5932292; 0.5424852
13832-simplified,chin; nose; wrinkle; temple; eye; facial expression; portrait photography; moustache,0.988589; 0.974972; 0.96861595; 0.95961004; 0.95269674; 0.9448971; 0.8551939; 0.7636276
13887-simplified,lighting; electricity; night; electronic signage; dusk,0.91698855; 0.83607775; 0.74903816; 0.74305487; 0.52442926
13906-simplified,train; winter; electricity; snow; headlamp,0.9880331; 0.92834103; 0.90866613; 0.9074756; 0.90238255
1392-simplified,ingredient; recipe; cooking; condiment; finger food; culinary arts,0.9128035; 0.8106168; 0.8085322; 0.80356294; 0.7002336; 0.69414425
13936-simplified,visual arts; painting; portrait; modern art; art paint; paint,0.8995332; 0.8334199; 0.77928513; 0.7523634; 0.70658046; 0.69677454
1394-simplified,red; pink; party supply; love,0.9778094; 0.8795164; 0.5444025; 0.50613296
13981-simplified,game; logo,0.8002253; 0.78352684
13995-simplified,number; night; graphics; neon sign,0.7893735; 0.66084313; 0.6125718; 0.54901135
14017-simplified,happiness; smile; facial expression; orange; formal wear; dress shirt; logo,0.97205245; 0.9678033; 0.9448744; 0.9429152; 0.92118514; 0.8128203; 0.72639316
14028-simplified,cheek; head; skin; child; eyelash; iris; blond,0.98682535; 0.9858948; 0.9807862; 0.9569674; 0.92604256; 0.90613765; 0.896653
14040-simplified,crows; beak; common raven; moon,0.9639578; 0.8989206; 0.84412277; 0.80793154
14046-simplified,flooring; floor; lighting; ceiling; door; light fixture; glass; symmetry,0.94843876; 0.927598; 0.92658186; 0.9255416; 0.88830453; 0.7879477; 0.74340594; 0.70593554
14088-simplified,whiskers; fur; snout; domestic short-haired cat,0.9358998; 0.7871817; 0.76243865; 0.58113694
14105-simplified,dog; flower; yellow; working animal; snout,0.99425954; 0.98981917; 0.9746006; 0.8587364; 0.8570808
14112-simplified,fictional character; flesh; action figure,0.7723911; 0.60009307; 0.55167466
1413-simplified,mushroom; fictional character; lawn ornament; animated cartoon; toy,0.9607028; 0.74626166; 0.6726651; 0.6164672; 0.59649223
14162-simplified,technology; robot; fictional character; headphones; cg artwork; fiction,0.8671718; 0.81457; 0.7664647; 0.6352384; 0.5847473; 0.55329406
14206-simplified,cg artwork; hero; animated cartoon; anime; fiction,0.6761759; 0.66899616; 0.6423826; 0.565056; 0.559401
1424-simplified,phasianidae; beak; black; feather; fowl,0.94175655; 0.9173199; 0.9079648; 0.8198978; 0.513571
14254-simplified,insect; yellow; close-up; macro photography; pest; pollinator; parasitism,0.9892184; 0.9613865; 0.9331768; 0.91171646; 0.9079822; 0.74304736; 0.6364219
14297-simplified,statue; bronze sculpture; figurine; classical sculpture; collectable,0.9710216; 0.8205817; 0.66526663; 0.64534754; 0.6224803
14364-simplified,red sky at morning; orange; sunrise; sunset; fictional character; cg artwork,0.91207266; 0.8795664; 0.8708124; 0.8351061; 0.8278421; 0.78011405
14367-simplified,logo; graphics; graphic design,0.7604978; 0.69224983; 0.67258
14376-simplified,astronaut; universe; star; astronomy; graphics; animation; fiction,0.857449; 0.68890053; 0.6203952; 0.61009717; 0.60000587; 0.5267862; 0.5203854
14387-simplified,beard; graphic design; animation; graphics; video game software; film,0.75051236; 0.73594344; 0.7243172; 0.6854548; 0.6834498; 0.6533378
14407-simplified,armour; technology; fictional character; action figure; mecha; fiction; action,0.9037335; 0.88920414; 0.85533094; 0.78986925; 0.7864002; 0.66741693; 0.6027688
14476-simplified,night,0.59190375
14478-simplified,plucked string instrument; guitarist; guitar; performing arts; performance,0.99; 0.983271; 0.98285425; 0.9749673; 0.9684737
14484-simplified,red; yellow; orange; neck; active shirt; skull; flame; fire; symbol,0.9737845; 0.959486; 0.95722115; 0.95614415; 0.9233082; 0.89834046; 0.850193; 0.78355354; 0.68234754
14550-simplified,motorcycle; automotive lighting; red; fuel tank; wheel; spoke; automotive exterior,0.99068356; 0.9840977; 0.97651005; 0.97592133; 0.974181; 0.97280586; 0.9614741; 0.9567924; 0.9550775
14579-simplified,blue; crystal; quartz; gemstone,0.9890651; 0.9113076; 0.8921593; 0.88920474
1460-simplified,superhero; action; armour; film; animation,0.98746365; 0.87830055; 0.8501172; 0.82469004; 0.7770075
1473-simplified,map,0.9869035
1479-simplified,blue; technology; lens flare; engineering; symmetry; science,0.9884005; 0.880314; 0.80603534; 0.7473134; 0.722262; 0.5341776
1510-simplified,fruit; orange; ingredient; sphere,0.96860343; 0.8875781; 0.84057385; 0.8178356
1512-simplified,terrestrial animal; snout; bird; reptile,0.8104169; 0.7182662; 0.6861415; 0.5843321
1545-simplified,ingredient; finger food; fast food,0.936954; 0.748525; 0.7424006
1562-simplified,boat; naval architecture; ship; ocean,0.9747309; 0.87839216; 0.8550386; 0.7306238
1566-simplified,technology; fictional character; robot; fiction; toy; science,0.88238853; 0.8036301; 0.77902067; 0.596817; 0.5606209; 0.5460818
1576-simplified,yoda; superhero; fiction; mask; animation,0.98924047; 0.93466586; 0.64111394; 0.63657254; 0.54581964
1647-simplified,gadget; headphones; electronic device; technology,0.9503093; 0.94055; 0.9222898; 0.8391193
1677-simplified,dusk; alley; cg artwork; cityscape; digital compositing; pc game; fictional character,0.7461799; 0.6776124; 0.6765723; 0.5925624; 0.5852835; 0.58515006; 0.58407855
1718-simplified,night; mythology; shrine,0.8377425; 0.8040025; 0.55117935
1762-simplified,dinosaur; landmark; tourist attraction; terrestrial animal; night,0.93050534; 0.92232645; 0.8809429; 0.78823614; 0.75039697
1782-simplified,automotive lighting; headlamp; classic car; hood; fender; automotive wheel system,0.95905256; 0.87693983; 0.86551976; 0.85386825; 0.84215397; 0.82924044
1809-simplified,robot; fictional character; action figure; animation; fiction,0.81239414; 0.77433944; 0.6602078; 0.5547832; 0.5404885
1852-simplified,flame; fire; heat; lighting; orange; darkness; night; still life photography,0.9807179; 0.9676163; 0.9335149; 0.9109586; 0.9011535; 0.8442943; 0.76027954; 0.6473256
1884-simplified,personal protective equipment; helmet; action; cuirass; hero; robot; cg artwork,0.9488439; 0.92405474; 0.89973706; 0.85354435; 0.8330523; 0.8285049; 0.8184702
1935-simplified,armour; cg artwork; purple; anime; graphics; supernatural creature,0.9441481; 0.88747066; 0.81405264; 0.69961214; 0.6679882; 0.5877471
1937-simplified,fictional character; armour; technology; mecha; animation; fiction; action figure; digital compositing,0.93371165; 0.9331317; 0.85872227; 0.71525437; 0.63171387; 0.61045605; 0.6040866; 0.5641651
1947-simplified,dragon; wing; cg artwork; mythology; cryptid; extinction; graphics,0.94161856; 0.89812857; 0.8561046; 0.8345066; 0.77961147; 0.7108728; 0.5892655
1960-simplified,lens flare; shadow,0.60737133; 0.5521103
1965-simplified,animated cartoon; squirrel; fictional character; cg artwork; graphics; rabbit,0.8341531; 0.8168799; 0.80090654; 0.75267047; 0.70820767; 0.551514
1968-simplified,hill; atmospheric phenomenon; horizon; ecoregion; mountain range; dusk,0.9671228; 0.9314229; 0.9259446; 0.9235645; 0.9122312; 0.87300354
1980-simplified,fictional character; mask; pc game; fiction; digital compositing; cg artwork; armour,0.89903307; 0.59943885; 0.5727813; 0.56352323; 0.5097371; 0.50785595; 0.50408244
2-simplified,horse; astronaut; horse supplies; astronomical object; horse tack; fiction; astronomy,0.8950925; 0.7086304; 0.69204754; 0.66879153; 0.6293914; 0.520815; 0.5058127
2010-simplified,fluid; cloud; wave; wind,0.9527182; 0.94524306; 0.9345335; 0.8242115
2072-simplified,blue,0.98860687
21-simplified,technology; robot; toy; science,0.87563133; 0.86958045; 0.62895864; 0.5723301
2107-simplified,nature; trunk; jungle; old-growth forest; rainforest; giant sequoia,0.9737684; 0.8719929; 0.8606512; 0.8265989; 0.7231528; 0.69665
2137-simplified,toy,0.6398685
2139-simplified,yellow; toy; happiness,0.96174496; 0.7276633; 0.7092869
2230-simplified,fictional character; cloak; film; animation; hood; cape,0.8487357; 0.70391726; 0.64055175; 0.5985697; 0.5706345; 0.5087957
2352-simplified,crystal; quartz; emerald; still life photography,0.95197994; 0.9372904; 0.79995096; 0.57889503
2356-simplified,mecha; science; pc game; 3d modeling; fictional character,0.695669; 0.5601215; 0.53037804; 0.5124879; 0.51117647
2366-simplified,bird of prey; beak; feather,0.96560097; 0.8430594; 0.67026174
2369-simplified,types of volcanic eruptions; orange; lava dome; cloud; volcanic field; lava; stratovolcano,0.947715; 0.93903565; 0.93050283; 0.9209977; 0.9055978; 0.89275247; 0.872955
2393-simplified,galaxy; astronomy; universe; nebula; star,0.97703934; 0.947869; 0.94728583; 0.8056658; 0.7909497
2420-simplified,engineering; train; rolling,0.7442987; 0.6764384; 0.6490773
2462-simplified,galaxy; universe; astronomy; nebula; star; atmospheric phenomenon; night,0.9639891; 0.94292945; 0.9247175; 0.90879595; 0.8935349; 0.8776613; 0.8090357
2469-simplified,flower; animated cartoon; floristry; fictional character,0.9755111; 0.68982476; 0.5345123; 0.50835353
2472-simplified,working animal; mist; mustang; stallion,0.9480096; 0.92388266; 0.8910906; 0.8125608
2529-simplified,red; skull; flame; fire; orange; heat; tooth; symbol,0.9763387; 0.96841973; 0.9600392; 0.9515349; 0.95114255; 0.9359328; 0.92789763; 0.6691173
2554-simplified,beak; wing; feather; songbirds,0.96096295; 0.8753897; 0.7912276; 0.6239339
2579-simplified,beard; moustache; fictional character,0.8879114; 0.81199837; 0.7313008
2584-simplified,red; fictional character; cape; animation; cloak,0.9767016; 0.8905602; 0.7237818; 0.6153734; 0.6002413
2589-simplified,pyramid; triangle; wonders of the world; meteorological phenomenon; science; digital compositing; world heritage site; star; universe,0.88872355; 0.81071264; 0.6432617; 0.5989438; 0.5717191; 0.5652895; 0.54638684; 0.54156697; 0.53257966
2702-simplified,dragon; mythology; cg artwork; cryptid; graphic design; graphics,0.88794446; 0.7613595; 0.7318583; 0.72965026; 0.6891466; 0.6660582
2730-simplified,fictional character; beak; toy; animated cartoon; bird; fiction; robot; 3d modeling,0.8780846; 0.79978573; 0.77064407; 0.759632; 0.618797; 0.6129425; 0.59822214; 0.50106436
2750-simplified,neon; visual effect lighting; lens flare; night,0.84456927; 0.6144011; 0.5775271; 0.5429565
2762-simplified,eyebrow; skin; hairstyle; facial expression; eyelash; iris; cartoon; long hair,0.9852536; 0.98067516; 0.97045034; 0.94494635; 0.9210374; 0.90190595; 0.8996925; 0.8860475
2819-simplified,pollinator; whiskers; butterfly; kitten; snout,0.91902906; 0.9127076; 0.8917185; 0.88965434; 0.86171174
2869-simplified,cloud; steeple; history; turret; evening,0.9038102; 0.8545291; 0.84983385; 0.7954168; 0.724866
2915-simplified,beak; feather; crows; songbirds; common raven; sun hat; fedora,0.9198496; 0.86205524; 0.75214005; 0.7036074; 0.6534796; 0.62628895; 0.5596324
2922-simplified,blue; yellow; composite material; symmetry,0.9883447; 0.9538489; 0.8745136; 0.7116902
2948-simplified,toy; snout; car door; primate,0.84897435; 0.8155767; 0.7246011; 0.5558286
2969-simplified,sky; photograph; horizon; sun; daytime; sunset; cloud; nature; orange,0.9905075; 0.98849225; 0.9852967; 0.98525155; 0.98185194; 0.9801627; 0.97850996; 0.97738045; 0.97140574
2972-simplified,fruit; smile; food; happiness,0.9620788; 0.8971187; 0.86569875; 0.815189
2993-simplified,animated cartoon; fictional character; cg artwork; film; graphics; toy; squirrel,0.80490386; 0.75988066; 0.7376397; 0.7027589; 0.673365; 0.617888; 0.59652925
3016-simplified,cg artwork; cryptid; demon; film; mythology; fiction,0.78928685; 0.7811013; 0.73907167; 0.69810224; 0.6783195; 0.66030073
3041-simplified,insect; close-up; macro photography; pest; parasitism; amphibians,0.8915356; 0.8560352; 0.7914858; 0.68987745; 0.5709156; 0.52733916
3050-simplified,column; arch; arcade; gothic architecture; shadow; still life photography; ruins,0.9421791; 0.9108033; 0.72413194; 0.7138143; 0.6934382; 0.59809095; 0.55847555
3220-simplified,book,0.7593785
324-simplified,ingredient; fast food; recipe; comfort food; condiment,0.9633336; 0.8863236; 0.850952; 0.80448556; 0.79583585
326-simplified,blue; garden; cottage; moon; petal,0.9877875; 0.9290636; 0.91001296; 0.8742396; 0.85227394
