image_id,label,score
3265-simplified,landmark; pyramid; tourist attraction; triangle; world heritage site; wonders of the world; tower; design,0.92169076; 0.89668185; 0.89167196; 0.81010175; 0.79963434; 0.77004105; 0.7528298; 0.6728211
329-simplified,robot; science,0.7416337; 0.52302915
3306-simplified,spire; cg artwork; cityscape; battle; fictional character; pc game; dawn,0.86368716; 0.8487874; 0.66394895; 0.6603137; 0.64631486; 0.6367599; 0.61041266
3331-simplified,cottage; log cabin; door; hardwood; wood stain; garden buildings; woodland,0.92194194; 0.8527991; 0.8484738; 0.8204313; 0.7851574; 0.7668846; 0.70483947
3417-simplified,history; ruins; tourist attraction; sunlight; jungle; temple; old-growth forest; world heritage site,0.85121614; 0.8297989; 0.8225562; 0.81684583; 0.79161435; 0.76608056; 0.6656628; 0.6470659
3446-simplified,flame; fire; science,0.5738745; 0.53631026; 0.50409985
3459-simplified,astronomical object; moonlight; dusk; walking,0.6405473; 0.58327764; 0.55683887; 0.52399176
3460-simplified,blue; facial expression; animation; film; portrait photography; no expression; hero,0.9888385; 0.9449429; 0.75027645; 0.7240733; 0.6256989; 0.58830786; 0.50860107
3511-simplified,fictional character; cg artwork; graphics; winter; fiction,0.7780288; 0.7110572; 0.61494005; 0.60477173; 0.5220027
3540-simplified,sunrise; astronomical object; animation; watercolor painting,0.6596516; 0.65388125; 0.6019692; 0.52151257
3618-simplified,whiskers; fur; snout; domestic short-haired cat,0.9559692; 0.83881754; 0.8236915; 0.53212065
367-simplified,fish; marine biology; underwater; fin; fictional character; tail,0.9387131; 0.6712605; 0.66226125; 0.6233268; 0.5985904; 0.5592787
3825-simplified,yellow; orange; graphics; graphic design,0.95796484; 0.87727195; 0.6863571; 0.6834236
3855-simplified,sword; film; hero; animation; costume design,0.7924383; 0.5791435; 0.57024115; 0.56104475; 0.5020987
4383-simplified,tourist attraction; tower; midnight; astronomical object; reflection; wonders of the world; science; evening,0.84053206; 0.814803; 0.7991404; 0.70769876; 0.6796324; 0.6617122; 0.6439662; 0.643087
4428-simplified,body jewelry; crystal; diamond; emerald,0.8914894; 0.88105834; 0.8729587; 0.8596141
4439-simplified,fictional character; animation; night; fiction,0.78644097; 0.68428284; 0.5851248; 0.5052804
4440-simplified,facial expression; smile; portrait; necktie; goggles; pleased,0.9449349; 0.8824136; 0.75528735; 0.70967466; 0.67250526; 0.6561517
4461-simplified,fictional character,0.90159833
4463-simplified,fictional character; masque; cosplay; fiction; cg artwork; costume design; armour,0.7500955; 0.6837041; 0.6176799; 0.57016623; 0.56864834; 0.5681744; 0.5359153
4501-simplified,wheel; car; automotive exterior;,0.9746464; 0.9638037; 0.9556573; 0.9423604
4514-simplified,astronaut; astronomical object; graphics; graphic design; astronomy; universe; animation,0.97937065; 0.73768777; 0.6093711; 0.60641885; 0.60184914; 0.5480301; 0.5466984
4519-simplified,smile; chin; happiness; eyebrow; skin; beauty; facial expression; tooth; portrait photography,0.9920069; 0.9885416; 0.98653674; 0.9852485; 0.9802124; 0.9585996; 0.94494975; 0.9328994; 0.9017521
456-simplified,automotive lighting; classic car; sedan; full-size car,0.91579026; 0.6772214; 0.6739157; 0.6525529
4565-simplified,nature; green; branch; sun; natural landscape; forest; sunlight; atmospheric phenomenon; sunrise; reflection,0.9789195; 0.9785289; 0.96665263; 0.9646476; 0.95124686; 0.9249334; 0.91410774; 0.9041714; 0.87898314; 0.87213653
4578-simplified,cg artwork; armour; mask; demon; mythology; graphics; action-adventure game,0.85868603; 0.7959549; 0.7549678; 0.73869896; 0.667878; 0.66541576; 0.6116632
4597-simplified,green; plantation,0.97802246; 0.63026017
461-simplified,feather; night,0.6799866; 0.6713956
4618-simplified,bird; beak; wing; feather; close-up; terrestrial animal,0.99260795; 0.97421676; 0.8715323; 0.8700725; 0.84085643; 0.82939523
4654-simplified,chin; glasses; eyebrow; hairstyle; collar; black hair; facial expression,0.9885442; 0.98695654; 0.98551404; 0.97010714; 0.9675552; 0.95811373; 0.9447423
4664-simplified,chicken; phasianidae; beak; fowl,0.97052574; 0.9564367; 0.9499543; 0.9134125
4722-simplified,dog; cat; tail; paw; fur,0.8437617; 0.83978534; 0.68597126; 0.65330315; 0.6196979
4738-simplified,fish; red; fin; marine biology; orange; underwater; tail,0.98757064; 0.97291404; 0.9357187; 0.9351751; 0.9293013; 0.89567536; 0.8105527
4803-simplified,blue; red; orange; yellow; flame; heat; fire; purple; graphics,0.9879549; 0.9768022; 0.96146524; 0.96122694; 0.95276433; 0.9233674; 0.8928754; 0.82768124; 0.63063693
4812-simplified,happiness; portrait photography,0.7017288; 0.5924456
4836-simplified,beard; moustache; film; hero,0.7474103; 0.7171215; 0.6402558; 0.59868956
4906-simplified,fictional character; technology; animation; robot; armour; fiction; mask,0.8837647; 0.86509436; 0.66671854; 0.6092346; 0.59363407; 0.5831471; 0.570599
4916-simplified,bird; beak; astronomical object; child; animated cartoon; graphics; film,0.9176678; 0.91147894; 0.82374287; 0.7855778; 0.67097217; 0.6428316; 0.636364
4948-simplified,liquid; glass,0.91954315; 0.75719774
4950-simplified,film; action; hero; armour; beard,0.82888657; 0.8282044; 0.70487964; 0.67507577; 0.6608649
4980-simplified,carnivores; snout; canidae; animation; graphics; fictional character,0.85690683; 0.7959915; 0.73569185; 0.5980297; 0.59425354; 0.57297873
4986-simplified,machine; plastic,0.80827856; 0.58942515
5104-simplified,musical instrument; interior design; lighting; light fixture; ceiling,0.9545956; 0.9457549; 0.92583424; 0.923473; 0.9213769
5136-simplified,film; animation; hero,0.6666914; 0.5939823; 0.57273793
5165-simplified,eyebrow; eyelash; cg artwork; portrait photography; fictional character; no expression; film; model; eye shadow,0.98528457; 0.87006867; 0.8162244; 0.7612134; 0.74682796; 0.6346683; 0.6298578; 0.60028136; 0.54236704
5215-simplified,glass; daylighting; evening,0.76776177; 0.6107981; 0.6105236
5298-simplified,beard; moustache; breastplate; vikings; knight,0.9671827; 0.91276693; 0.74607116; 0.5553358; 0.5077515
5309-simplified,facial expression; dragon ball; fictional character; muscle; animated cartoon; film; figurine,0.9444105; 0.8838093; 0.87991107; 0.85694605; 0.6763084; 0.66092837; 0.62492716
5332-simplified,ingredient; recipe,0.9442181; 0.8167641
5334-simplified,number,0.82032204
5340-simplified,black; darkness; midnight; alley; evening; shadow; backlighting; walking; lens flare,0.9067229; 0.8819507; 0.79899806; 0.79069465; 0.7503647; 0.72143936; 0.65945315; 0.60265726; 0.59429854
5428-simplified,red; orange; astronomy; universe; planet; sphere; heat; night,0.9736432; 0.95351326; 0.925691; 0.8731022; 0.84839386; 0.8107931; 0.7222282; 0.71018076
5432-simplified,facial expression; orange; pumpkin,0.94494444; 0.93793374; 0.9226893
545-simplified,silver; gadget; smartphone; telephony; still life photography,0.7446856; 0.7428662; 0.6703733; 0.62783617; 0.61988306
5456-simplified,breastplate; action; cg artwork; knight; film; hero; cloak,0.8165747; 0.79828143; 0.7704139; 0.7121928; 0.686586; 0.63327897; 0.5878173
5460-simplified,orange; party; performing arts; concert,0.89353645; 0.8580863; 0.853319; 0.78963125
5584-simplified,snout; animated cartoon; toy; mythical creature,0.76374865; 0.7194934; 0.58430177; 0.50718105
5686-simplified,mustang; animation; stallion; meteorological phenomenon; mythical creature; wind,0.8335111; 0.72365046; 0.7143245; 0.71099687; 0.6753788; 0.64944345
5763-simplified,whiskers; snout; fur; horse; domestic short-haired cat,0.97809666; 0.92371964; 0.8378136; 0.7525714; 0.7476815
5789-simplified,personal protective equipment; helmet; armour; action; fiction; hero,0.91930425; 0.837322; 0.82608134; 0.7261006; 0.6690992; 0.608591
5807-simplified,blue; sphere; graphics,0.9884318; 0.80398536; 0.61726403
5846-simplified,heart; red; fluid; love; liquid; close-up; glass,0.9847641; 0.9777493; 0.9555683; 0.93038446; 0.9214262; 0.9068808; 0.8779159
5911-simplified,nature; natural landscape; jungle; trunk; woody plant; painting; old-growth forest; rainforest,0.9787658; 0.9501026; 0.92224693; 0.881275; 0.8498953; 0.8432267; 0.8279203; 0.787548
5930-simplified,eyelash; blond; winter; portrait photography; fur; headpiece; no expression,0.8959381; 0.7774652; 0.7670367; 0.6700092; 0.6451101; 0.60264784; 0.53950125
6016-simplified,types of volcanic eruptions; lava dome; fissure vent; lava; volcanic field; orange; heat,0.9692021; 0.93907905; 0.9377109; 0.92162156; 0.9098379; 0.90472955; 0.9046493
6062-simplified,cg artwork; armour; action-adventure game; mythology; fiction; anime; supernatural creature,0.9072854; 0.8949755; 0.79036033; 0.7855886; 0.66229486; 0.6320263; 0.62156296
6106-simplified,batman; justice league; cartoon; cape; film,0.98322386; 0.90979826; 0.87414277; 0.85438764; 0.8435109
6110-simplified,batman; cape; cartoon; justice league; film; cloak,0.981364; 0.89341414; 0.8887262; 0.87168616; 0.84889305; 0.8339222
6157-simplified,technology; animation; fictional character; robot; graphics; armour; digital compositing; science; film,0.85165113; 0.77237874; 0.72076076; 0.6887842; 0.5734253; 0.5576772; 0.5427433; 0.5381073; 0.5237368
6188-simplified,glasses,0.984072
6274-simplified,automotive lighting; automotive exterior; bumper; fender; headlamp; personal luxury car,0.9598626; 0.94491726; 0.87066656; 0.811048; 0.810901; 0.79079664
6361-simplified,sunglasses; glasses; goggles; collar; black hair; personal protective equipment; moustache,0.9911741; 0.98779386; 0.9712914; 0.96311593; 0.9396015; 0.91972363; 0.83301806
6382-simplified,standing; city; street; pedestrian; walking; evening; shadow; backlighting,0.9603753; 0.9504842; 0.9350238; 0.93271923; 0.8193927; 0.80465347; 0.7592502; 0.7371721
6394-simplified,ingredient; vegetable,0.9423016; 0.87897485
6410-simplified,sky; cloud; wind; atmospheric phenomenon; dusk; sunlight; machine,0.9886698; 0.9133423; 0.8910545; 0.8843463; 0.87206376; 0.86837834; 0.84849757
6421-simplified,blue,0.98948985
6460-simplified,orange; heat; geological phenomenon; sunset; fire; flame,0.9240797; 0.8992217; 0.8044104; 0.78490746; 0.7674706; 0.7464759
6481-simplified,graphic design; digital compositing; graphics; fractal art; cg artwork; pc game; fictional character,0.65782803; 0.6510456; 0.64918417; 0.6205341; 0.6020052; 0.58287543; 0.55695957
6495-simplified,boat; ocean; ship,0.9856846; 0.9080888; 0.8811997
6496-simplified,toy; cat; dog; snout; whiskers; pet supply; tail,0.92502207; 0.92340946; 0.917902; 0.8422019; 0.7562362; 0.6671668; 0.66616464
6504-simplified,sky; cloud; turret; dusk; château; steeple,0.9886544; 0.969985; 0.87162876; 0.86783063; 0.8262223; 0.81548977
6536-simplified,tradition; temple; shrine,0.85822284; 0.80499697; 0.71402735
6551-simplified,dome; sunset; finial; spire; sunrise,0.9271856; 0.9005654; 0.872084; 0.8610875; 0.81548613
6559-simplified,blue; whiskers; snout; purple; fur; kitten,0.98929626; 0.9436767; 0.86498535; 0.8321862; 0.8070176; 0.57809144
6572-simplified,event; tradition; masque; costume; costume hat,0.9370928; 0.90678245; 0.90248704; 0.86994475; 0.8519922
6722-simplified,batman; justice league; cape; cartoon; film,0.981689; 0.88085246; 0.87980217; 0.85743374; 0.81638676
6763-simplified,bengal tiger; siberian tiger; facial expression; terrestrial animal; whiskers,0.9804266; 0.9744472; 0.9448566; 0.9439085; 0.93206483
6773-simplified,metropolis; metropolitan area; cityscape; skyscraper; moon; midnight,0.9127151; 0.88936716; 0.8719564; 0.861673; 0.8508291; 0.8153691
6774-simplified,bird; facial expression; beak; feather; film; animated cartoon,0.94900036; 0.9448914; 0.80851287; 0.6097028; 0.55768013; 0.5533898
6782-simplified,horn; jungle; snout; wildlife; fictional character; natural material; animation; old-growth forest,0.83611757; 0.8249063; 0.8126352; 0.8081359; 0.7791988; 0.70969355; 0.7084892; 0.64391696
6823-simplified,types of volcanic eruptions; lava dome; fissure vent; volcanic field; stratovolcano; lava; orange,0.9714166; 0.9426274; 0.91870123; 0.9182507; 0.91585064; 0.9110306; 0.9004894
6851-simplified,furniture; interior design; lighting; room; home,0.97219; 0.93405855; 0.9318384; 0.9269426; 0.92227656
6857-simplified,cottage; astronomical object; evening; log cabin; garden buildings,0.91959745; 0.81515807; 0.7653941; 0.6760668; 0.67012066
6904-simplified,facial expression; tooth; demon; graphics; animation; tongue,0.94493085; 0.9304843; 0.78263056; 0.6810052; 0.66988266; 0.6676097
6943-simplified,yellow; graphics; graphic design; silver; fractal art,0.96119946; 0.7284847; 0.7077238; 0.6926184; 0.6516826
7006-simplified,fictional character; cg artwork; breastplate; cartoon; mythology; knight,0.90839416; 0.8797276; 0.860947; 0.8449961; 0.79097116; 0.75882584
7083-simplified,dog; snout; working animal; black; whiskers,0.9834813; 0.92751265; 0.9145273; 0.9096744; 0.56018114
7087-simplified,breastplate; cg artwork; mask; action; hero,0.7809786; 0.7484772; 0.7308899; 0.6482888; 0.64827466
7109-simplified,yellow; orange; beard; performing arts; concert; goggles; sunglasses; portrait photography,0.9585484; 0.89708453; 0.73618275; 0.72662777; 0.6669432; 0.6620486; 0.65286374; 0.5652593
7155-simplified,ecoregion; grassland; horizon; steppe; prairie; field,0.9471332; 0.9440926; 0.9249592; 0.89085877; 0.84882367; 0.78881556
7182-simplified,collar; neck; standing; fashion; dress shirt,0.9699861; 0.95564675; 0.9493368; 0.9408029; 0.90895075
7199-simplified,toy; terrestrial animal; snout; animation; wildlife; fictional character; horn; lawn ornament,0.8889234; 0.8646509; 0.834377; 0.7498006; 0.7322382; 0.72371966; 0.6861607; 0.61586934
7247-simplified,spacecraft; aircraft; toy; aerospace manufacturer,0.86649054; 0.75825167; 0.64335656; 0.54709417
735-simplified,lotus; yellow; aquatic plant; pink; reflection; purple,0.97332746; 0.96254873; 0.9520211; 0.9013511; 0.828542; 0.8006824
7412-simplified,fictional character; graphics; fiction; film; moustache; animated cartoon,0.8687585; 0.67301565; 0.58840483; 0.5875342; 0.5621519; 0.50812954
7417-simplified,fruit; food; vegetable,0.9728985; 0.8105179; 0.72185713
7451-simplified,fruit; painting; plantation,0.84424216; 0.83148694; 0.66909
7526-simplified,astronomical object; universe; video game software; dome; science; digital compositing; cg artwork; aerospace engineering,0.749657; 0.69265956; 0.67328566; 0.6617591; 0.59413624; 0.5714576; 0.54167813; 0.50900126
7534-simplified,rodent; snout; pest; whiskers; animated cartoon; toy,0.9510787; 0.91467947; 0.8579974; 0.75093085; 0.684416; 0.61153084
756-simplified,batman; justice league; action; film; armour; animation,0.98132163; 0.8904486; 0.8464711; 0.84120923; 0.8327768; 0.76994723
7582-simplified,long hair; red hair; model; photo shoot; portrait photography,0.8829128; 0.84259313; 0.72527736; 0.7159884; 0.6325582
7594-simplified,pink; lantern; design,0.88755745; 0.722753; 0.6835756
7602-simplified,pink; beauty; eyelash; long hair,0.9508957; 0.9475148; 0.88801455; 0.7742484
763-simplified,cloud; people in nature; cg artwork,0.9029272; 0.83332604; 0.5274083
7669-simplified,atmospheric phenomenon; moonlight; moon; darkness; celestial event; midnight; meteorological phenomenon; cg artwork,0.9228785; 0.8504626; 0.8476027; 0.8456313; 0.72645205; 0.7198742; 0.7123495; 0.70290285
7721-simplified,armour; technology; silver; mecha; fictional character; action figure; animation,0.85981476; 0.8443169; 0.7028551; 0.6826544; 0.678235; 0.61443526; 0.5136162
7731-simplified,still life photography; rose family; floristry,0.59299433; 0.5735951; 0.56462854
7775-simplified,wood; tree house; trunk; giant sequoia; log cabin,0.96971935; 0.9335419; 0.8755579; 0.53591096; 0.53406876
7784-simplified,bengal tiger; siberian tiger; terrestrial animal; child; happiness,0.9677018; 0.9413259; 0.8883206; 0.82331675; 0.7911311
7831-simplified,steeple; winter; turret; finial; morning; tourist attraction; freezing; evening,0.9262064; 0.92389125; 0.88466; 0.853799; 0.84159935; 0.83432674; 0.82823306; 0.82702386
7927-simplified,moon; atmospheric phenomenon; moonlight; cloud; astronomy; celestial event; star,0.97420627; 0.9438517; 0.9387829; 0.90648395; 0.87150115; 0.84761506; 0.82789797
7950-simplified,blue; crystal; gemstone,0.9881004; 0.788711; 0.5873842
7959-simplified,alley; evening; night; lens flare; heat,0.8375653; 0.79624623; 0.69992846; 0.5178656; 0.51170814
7962-simplified,skyscraper; metropolis; cityscape; dusk,0.9428503; 0.8865303; 0.86394274; 0.70821905
7964-simplified,knight; breastplate; vikings; action; conquistador; hero; film,0.8721556; 0.87124497; 0.8057014; 0.6302109; 0.5423271; 0.54057133; 0.52894646
7979-simplified,blue; dusk; meteorological phenomenon; astronomical object; cumulus; turret; animation,0.9878103; 0.8156359; 0.7565261; 0.7356988; 0.7218915; 0.7100311; 0.7066216
8061-simplified,software; screenshot; software engineering; personal computer,0.88029987; 0.77467716; 0.6715394; 0.6469398
8081-simplified,night; party; visual effect lighting,0.67654467; 0.5779457; 0.5693228
8123-simplified,dragon ball; film; action figure; hero; animated cartoon,0.9463784; 0.8137305; 0.67753005; 0.67223704; 0.6151165
8124-simplified,active shirt,0.8809035
8130-simplified,mask; winter; hood; cosplay; goth subculture,0.78986084; 0.6402177; 0.6364772; 0.61861354; 0.59356236
8185-simplified,spacecraft; aircraft; astronomical object; science; universe; digital compositing; aerospace manufacturer; video game software,0.9124971; 0.7327484; 0.7048045; 0.58603764; 0.5837082; 0.5668802; 0.53389335; 0.53289497
8194-simplified,automotive exterior; car door; classic car; personal luxury car,0.94625044; 0.9201305; 0.8684544; 0.699697
8201-simplified,blue; turret; skyscraper; steeple; gothic architecture; animation; graphics,0.98825246; 0.7407533; 0.7281256; 0.70708114; 0.6720105; 0.61895376; 0.5997874
8225-simplified,blue; cheek; eyebrow; lips; skin; eyelash; beauty; black hair; hairstyle,0.98952824; 0.9868; 0.9859298; 0.98479617; 0.9817068; 0.9802232; 0.9736432; 0.97149193; 0.9701936
8259-simplified,collar; hat; black; necktie,0.96591663; 0.92084324; 0.90716577; 0.8940079
8270-simplified,wing; cg artwork; supernatural creature; mythology; dragon; cryptid; armour,0.9204518; 0.86264795; 0.755521; 0.73015666; 0.6562074; 0.6250825; 0.5345937
8279-simplified,plucked string instrument; guitar; cat; guitarist; folk instrument,0.9822256; 0.9816265; 0.9377858; 0.9060877; 0.8385144
8326-simplified,fiction; cg artwork; mask; demon; animated cartoon; cryptid; armour,0.71552825; 0.71496564; 0.58123904; 0.5508346; 0.5300588; 0.5300222; 0.5242827
8342-simplified,animation; graphics; graphic design; hero,0.7018037; 0.65692335; 0.59317124; 0.5473788
8360-simplified,night,0.6656238
8368-simplified,automotive lighting; bumper; sedan; personal luxury car; rolling,0.9154455; 0.7361307; 0.71185625; 0.7006873; 0.68157405
8421-simplified,beauty; eyelash; fictional character; black; cg artwork; purple; long hair; costume; headpiece,0.95691663; 0.9279498; 0.9144917; 0.90701216; 0.8980004; 0.8765555; 0.8635256; 0.7585103; 0.750803
8437-simplified,beak; bird of prey; feather; fictional character,0.9619968; 0.8638752; 0.7338684; 0.68123585
8441-simplified,horizon; darkness; moonlight; astronomical object; walking; mist; dusk,0.93593675; 0.8566129; 0.8302657; 0.79905075; 0.73994684; 0.7285649; 0.72567934
8450-simplified,graphics; graphic design,0.6437726; 0.5703093
8467-simplified,electronics; display device; night; neon,0.7653277; 0.64943135; 0.6298682; 0.6022705
8493-simplified,reflection; glass; precipitation; aquatic plant; lens flare; pond; night,0.8485343; 0.73549956; 0.7080512; 0.5843174; 0.5544524; 0.52749217; 0.5082861
8524-simplified,facial expression; fictional character; smile; happiness; pleased; costume hat; costume design; animation,0.94494617; 0.9420738; 0.9349343; 0.9117236; 0.7603366; 0.7335779; 0.6407478; 0.63372916
8543-simplified,yoda; animated cartoon; snout; toy; fiction,0.9556974; 0.8327994; 0.7096244; 0.6005473; 0.5079677
8549-simplified,facial expression; portrait photography; hood; film; no expression; fictional character; model,0.9448719; 0.8463301; 0.8090567; 0.7888148; 0.6355232; 0.59557956; 0.507829
8596-simplified,flower; pink; watercolor painting; paint; rose family; floral design,0.99086416; 0.94498223; 0.7041542; 0.6123455; 0.5970161; 0.5968412
8644-simplified,dog; snout; black; working animal,0.99550444; 0.91920847; 0.90739244; 0.52026767
8682-simplified,unidentified flying object; moonlight; star; dusk; astronomy; universe,0.7668008; 0.66395855; 0.6505234; 0.6345906; 0.5731075; 0.5275727
8743-simplified,fictional character; toy; animated cartoon,0.8706893; 0.7716321; 0.64798737
877-simplified,earring; crystal; silver; diamond,0.9597257; 0.8782837; 0.8412915; 0.8040665
8861-simplified,neon sign; night; visual effect lighting,0.8093471; 0.73320943; 0.6238284
8872-simplified,visual arts; tradition; umbrella; watercolor painting; paint; modern art,0.866366; 0.79839265; 0.72927994; 0.64442253; 0.5915355; 0.5468952
895-simplified,sunset; horizon; sunrise; cloud; rock; atmospheric phenomenon; terrain,0.96356255; 0.9593736; 0.95330274; 0.915817; 0.91309065; 0.9005993; 0.8859034
8977-simplified,green; amphibians; yellow; reptile; black,0.98627347; 0.98337555; 0.9762482; 0.9210083; 0.9091489
8980-simplified,metropolitan area; street; skyscraper; metropolis; pedestrian; evening,0.944448; 0.9065286; 0.89236206; 0.8877065; 0.86797; 0.8464138
9043-simplified,yellow; food; vegetable,0.96075875; 0.95892316; 0.8106808
9082-simplified,garden; spring; cottage,0.9301901; 0.86131555; 0.8174914
9099-simplified,fictional character; happiness; action figure; figurine; animated cartoon,0.6293929; 0.6152619; 0.5430277; 0.5403142; 0.52756363
9152-simplified,armour; fictional character; technology; animation; mecha; action figure; graphics,0.9442616; 0.90863764; 0.8875704; 0.8487479; 0.7909386; 0.7467024; 0.628524
917-simplified,mythology; modern art; watercolor painting,0.7035079; 0.6585903; 0.6180385
9234-simplified,universe; star; astronomy; planet; dome; galaxy; night,0.8714826; 0.817107; 0.7638559; 0.7333109; 0.69064814; 0.67745006; 0.6687811
9295-simplified,motorcycle; red; fuel tank; automotive lighting; fender; automotive wheel system; spoke; carbon fibers,0.98455006; 0.9753645; 0.9750447; 0.9525357; 0.93044; 0.87503564; 0.86909693; 0.83987564; 0.7829846
9366-simplified,gadget; smartphone; telephony; display device; technology; rabbit,0.959427; 0.8907618; 0.88273644; 0.8737452; 0.86663866; 0.860144
9393-simplified,tower; animation,0.8738859; 0.59273756
940-simplified,toy; animated cartoon; fedora; fictional character; sun hat,0.69971764; 0.6633368; 0.65025693; 0.6137469; 0.5660463
9426-simplified,hairstyle; facial expression; anime; cg artwork; animated cartoon,0.9702948; 0.9449171; 0.8774711; 0.828865; 0.63390446
9462-simplified,statue; monument; column; mythology; bronze sculpture; classical sculpture; middle ages,0.8847818; 0.81247485; 0.7259178; 0.7091038; 0.6799247; 0.62739915; 0.52854174
9484-simplified,plucked string instrument; guitar; guitarist; performing arts,0.9885427; 0.98275787; 0.9822677; 0.88518536
9486-simplified,facial expression; pink; mythical creature; animated cartoon; cg artwork; snout,0.9445964; 0.9175056; 0.85313565; 0.794856; 0.79073006; 0.7204296
9512-simplified,candle; event; party supply; dessert,0.97105396; 0.95531976; 0.94308764; 0.9167673
9549-simplified,muscle; thorax; superhero; barechestedness; animation; flesh,0.9162279; 0.8190079; 0.81477666; 0.7421222; 0.7174284; 0.6342664
9609-simplified,winter; film; freezing; animation; digital compositing,0.88071036; 0.87419426; 0.8617997; 0.82396895; 0.70141584
9636-simplified,moustache; collectable,0.8082869; 0.5828552
967-simplified,whiskers; costume; fur; tail; domestic short-haired cat,0.8200824; 0.7005089; 0.6873364; 0.66260856; 0.5313
9675-simplified,technology; animated cartoon; pc game; fictional character; display device,0.8400158; 0.70909745; 0.706281; 0.6903819; 0.6198277
9690-simplified,heart; red; close-up; dessert; love,0.9838072; 0.97759134; 0.8948932; 0.84149057; 0.82749057
9723-simplified,graphics; symbol; graphic design; fractal art; animation,0.70069885; 0.65146077; 0.6049722; 0.5805408; 0.5287107
9732-simplified,blue; daytime; cumulus; sunlight; meteorological phenomenon; sunrise; backlighting,0.98847055; 0.9812103; 0.94283223; 0.8622915; 0.8313893; 0.6886851; 0.63575184
9749-simplified,fictional character; wrinkle,0.85465306; 0.5827608
9753-simplified,black; carbon fibers,0.90798795; 0.7410437
9959-simplified,blue; flame; fire; heat; boat; wave,0.98868036; 0.9633538; 0.9316378; 0.8803273; 0.62119514; 0.55391884
